KACHIN	MYITYKYINA	MMR001001	Myitkyina	305347	147711	157636	50402	272970	128859	144111	5.42	32377	18852	13525	
KACHIN	MYITYKYINA	MMR001001702	Sinbo	13631	5553	8078	2000	9577	4853	4724	4.79	4054	700	3354	Sub-Township
KACHIN	MYITYKYINA	MMR001002	Waingmaw	105513	52188	53325	19618	99388	48294	51094	5.07	6125	3894	2231	
KACHIN	MYITYKYINA	MMR001002702	Sadung	10406	5200	5206	1626	10083	4985	5098	6.20	323	215	108	Sub-Township
KACHIN	MYITYKYINA	MMR001002703	Kan Paik Ti	8682	4536	4146	1474	8286	4212	4074	5.62	396	324	72	Sub-Township
KACHIN	MYITYKYINA	MMR001003	Injangyang	1715	940	775	284	1401	702	699	4.93	314	238	76	
KACHIN	MYITYKYINA	MMR001004	Tanai	48562	25708	22854	6391	37485	19059	18426	5.87	11077	6649	4428	
KACHIN	MYITYKYINA	MMR001004702	Shin Bway Yang	11459	6228	5231	2171	11325	6126	5199	5.22	134	102	32	Sub-Township
KACHIN	MYITYKYINA	MMR001005	Chipwi	11300	5858	5442	1940	10818	5469	5349	5.58	482	389	93	
KACHIN	MYITYKYINA	MMR001005702	Pang War	8736	4481	4255	1374	8283	4117	4166	6.03	453	364	89	Sub-Township
KACHIN	MYITYKYINA	MMR001006	Tsawlaw	6522	3355	3167	1073	6503	3343	3160	6.06	19	12	7	
KACHIN	MOHNYIN	MMR001007	Mohnyin	160438	78944	81494	30199	147895	69526	78369	4.90	12543	9418	3125	
KACHIN	MOHNYIN	MMR001007702	Hopin	48635	22830	25805	9438	46771	21336	25435	4.96	1864	1494	370	Sub-Township
KACHIN	MOHNYIN	MMR001008	Mogaung	132264	63412	68852	24895	126475	59054	67421	5.08	5789	4358	1431	
KACHIN	MOHNYIN	MMR001009	Hpakant	312528	201167	111361	33128	151567	80930	70637	4.58	160961	120237	40724	
KACHIN	MOHNYIN	MMR001009702	Kamaing	19436	9714	9722	3537	17348	8439	8909	4.90	2088	1275	813	Sub-Township
KACHIN	BHAMO	MMR001010	Bhamo	136229	66974	69255	24267	118497	56381	62116	4.88	17732	10593	7139	
KACHIN	BHAMO	MMR001011	Shwegu	90316	44854	45462	15821	80603	38734	41869	5.09	9713	6120	3593	
KACHIN	BHAMO	MMR001011702	Myo Hla	4092	2114	1978	793	3973	2036	1937	5.01	119	78	41	Sub-Township
KACHIN	BHAMO*	MMR001012	Momauk*	41587	20283	21304	8639	40191	19096	21095	4.65	1396	1187	209	
KACHIN	BHAMO*	MMR001012702	Lwegel*	10024	4973	5051	1502	7772	3756	4016	5.17	2252	1217	1035	Sub-Township
KACHIN	BHAMO*	MMR001012703	Dawthponeyan*	11309	5831	5478	2232	10707	5348	5359	4.80	602	483	119	Sub-Township
KACHIN	BHAMO*	MMR001013	Mansi*	52946	26241	26705	10569	51146	25127	26019	4.84	1800	1114	686	
KACHIN	PUTA-O	MMR001014	Puta-O	61100	30249	30851	10749	58630	28562	30068	5.45	2470	1687	783	
KACHIN	PUTA-O	MMR001015	Sumprabum	2537	1297	1240	478	2396	1193	1203	5.01	141	104	37	
KACHIN	PUTA-O	MMR001016	Machanbaw	8845	4453	4392	1720	8344	4083	4261	4.85	501	370	131	
KACHIN	PUTA-O	MMR001017	Nawngmun	5360	2689	2671	943	5267	2646	2621	5.59	93	43	50	
KACHIN	PUTA-O	MMR001017702	Pannandin	1755	911	844	268	1750	906	844	6.53	5	5	-	Sub-Township
KACHIN	PUTA-O	MMR001018	Khaunglanhpu	11780	5939	5841	1703	11760	5927	5833	6.91	20	12	8	
KAYAH	LOIKAW	MMR002001	Loikaw	128837	63404	65433	26477	122641	58775	63866	4.63	6196	4629	1567	
KAYAH	LOIKAW	MMR002002	Demoso	78990	38868	40122	15339	77877	38062	39815	5.08	1113	806	307	
KAYAH	LOIKAW	MMR002003	Hpruso	29315	14416	14899	5909	28243	13568	14675	4.78	1072	848	224	
KAYAH	LOIKAW	MMR002004	Shadaw	6737	3342	3395	1407	6558	3201	3357	4.66	179	141	38	
